year,geo,vehicle_type,origin_of_manufacture,sales,value
1965,Canada,Passenger cars,North America,Units,633641
1965,Canada,Passenger cars,"Total, country of manufacture",Dollars,2267314000
1965,Canada,Passenger cars,"Total, country of manufacture",Units,708716
1965,Canada,Passenger cars,"Total, overseas",Dollars,158749000
1965,Canada,Passenger cars,"Total, overseas",Units,75075
1965,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,2739329000
1965,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,830995
1965,Canada,Trucks,North America,Dollars,466463000
1965,Canada,Trucks,North America,Units,120205
1965,Canada,Trucks,"Total, country of manufacture",Dollars,472015000
1965,Canada,Trucks,"Total, country of manufacture",Units,122279
1965,Canada,Trucks,"Total, overseas",Dollars,5552000
1965,Canada,Trucks,"Total, overseas",Units,2074
1965,Manitoba,Passenger cars,North America,Dollars,85542000
1965,Manitoba,Passenger cars,North America,Units,25927
1965,Manitoba,Passenger cars,"Total, overseas",Dollars,3931000
1965,Manitoba,Passenger cars,"Total, overseas",Units,1890
1965,New Brunswick,Passenger cars,North America,Dollars,52645000
1965,New Brunswick,Passenger cars,North America,Units,16170
1965,New Brunswick,Passenger cars,"Total, overseas",Dollars,5359000
1965,New Brunswick,Passenger cars,"Total, overseas",Units,2706
1965,Newfoundland and Labrador,Passenger cars,North America,Dollars,25916000
1965,Newfoundland and Labrador,Passenger cars,North America,Units,8078
1965,Newfoundland and Labrador,Passenger cars,"Total, overseas",Dollars,4063000
1965,Newfoundland and Labrador,Passenger cars,"Total, overseas",Units,2091
1965,Nova Scotia,Passenger cars,North America,Dollars,60817000
1965,Nova Scotia,Passenger cars,North America,Units,18909
1965,Nova Scotia,Passenger cars,"Total, overseas",Dollars,7169000
1965,Nova Scotia,Passenger cars,"Total, overseas",Units,3635
1965,Ontario,Passenger cars,North America,Dollars,896759000
1965,Ontario,Passenger cars,North America,Units,268670
