REF_DATE,VALUE,from,dim_trad,dim_mode,dim_years,dim_type,to
2009,65,6,1,1,2,1,9
2009,30,6,1,1,2,1,10
2009,5,6,2,1,1,1,3
2009,10,6,2,1,1,1,5
2009,1845,6,2,1,1,1,6
2009,10,6,2,1,1,1,8
2009,10,6,2,1,1,1,9
2009,5,6,2,1,1,1,10
2009,5,6,2,1,2,1,3
2009,5,6,2,1,2,1,4
2009,10,6,2,1,2,1,5
2009,1815,6,2,1,2,1,6
2009,10,6,2,1,2,1,8
2009,20,6,2,1,2,1,9
2009,10,6,2,1,2,1,10
2009,10,6,3,1,1,1,5
2009,1045,6,3,1,1,1,6
2009,5,6,3,1,1,1,7
2009,5,6,3,1,1,1,9
2009,5,6,3,1,1,1,11
2009,10,6,3,1,2,1,5
2009,1040,6,3,1,2,1,6
2009,5,6,3,1,2,1,9
2009,5,6,3,1,2,1,11
2009,5,6,4,1,1,1,1
2009,5,6,4,1,1,1,2
2009,10,6,4,1,1,1,3
2009,5,6,4,1,1,1,4
2009,55,6,4,1,1,1,5
2009,7395,6,4,1,1,1,6
2009,10,6,4,1,1,1,7
2009,20,6,4,1,1,1,8
2009,55,6,4,1,1,1,9
2009,25,6,4,1,1,1,10
2009,5,6,4,1,1,1,11
2009,5,6,4,1,2,1,1
2009,5,6,4,1,2,1,2
2009,10,6,4,1,2,1,3
2009,10,6,4,1,2,1,4
2009,50,6,4,1,2,1,5
2009,7355,6,4,1,2,1,6
2009,5,6,4,1,2,1,7
2009,30,6,4,1,2,1,8
2009,90,6,4,1,2,1,9
2009,40,6,4,1,2,1,10
2009,5,6,4,1,2,1,11
2009,540,7,1,1,1,1,7
2009,10,7,1,1,1,1,8
2009,5,7,1,1,1,1,9
2009,5,7,1,1,1,1,10
2009,5,7,1,1,2,1,3
2009,5,7,1,1,2,1,6
2009,515,7,1,1,2,1,7
2009,20,7,1,1,2,1,8
2009,5,7,1,1,2,1,9
2009,5,7,1,1,2,1,10
2009,5,7,2,1,1,1,6
2009,240,7,2,1,1,1,7
2009,5,7,2,1,1,1,8
2009,5,7,2,1,1,1,9
2009,5,7,2,1,2,1,6
2009,240,7,2,1,2,1,7
2009,5,7,2,1,2,1,8
2009,5,7,2,1,2,1,9
2009,5,7,2,1,2,1,10
2009,5,7,3,1,1,1,6
2009,55,7,3,1,1,1,7
2009,5,7,3,1,1,1,8
2009,5,7,3,1,2,1,6
